BAS ID,GEOID for TIGERweb,Name,MTDB Expanded Lsad,Tribe Name,State FIPS,State Abbreviation,County FIPS,County Name,ANSI Code
49901301915,1915,Las Vegas Colony,Indian Colony,Las Vegas Tribe of Paiute Indians of the Las Vegas Indian Colony,32,NV,003,Clark,00853945
49901372015,2015,Lovelock Colony,Indian Colony,"Lovelock Paiute Tribe of the Lovelock Indian Colony, Nevada",32,NV,027,Pershing,00850417
49902093130,3130,Reno-Sparks Colony,Indian Colony,"Reno-Sparks Indian Colony, Nevada",32,NV,031,Washoe,00853944
49902934635,4635,Winnemucca Colony,Indian Colony,Winnemucca Indian Colony of Nevada,32,NV,013,Humboldt,00849652
49900951410,1410,Hannahville Community,Indian Community,"Hannahville Indian Community, Michigan",26,MI,041,Delta,01616983
49900951410,1410,Hannahville Community,Indian Community,"Hannahville Indian Community, Michigan",26,MI,109,Menominee,01616983
49901402055,2055,Lower Sioux Reservation,Indian Community,Lower Sioux Indian Community in the State of MInnesota,27,MN,127,Redwood,00647264
49901982985,2985,Prairie Island Indian Community,Indian Community,Prairie Island Indian Community in the State of Minnesota,27,MN,049,Goodhue,00654519
49901982985,2985,Prairie Island Indian Community,Indian Community,Prairie Island Indian Community in the State of Minnesota,27,MN,037,Dakota,00654519
49900050095,0095,Alturas Rancheria,Indian Rancheria,"Alturas Indian Rancheria, California",06,CA,049,Modoc,00218194
49900540780,0780,Cortina Rancheria,Indian Rancheria,Kletsel Dehe Band of Wintun Indians,06,CA,011,Colusa,00221603
49900931395,1395,Grindstone Rancheria,Indian Rancheria,Grindstone Indian Rancheria of Wintun-Wailaki Indians,06,CA,021,Glenn,00266781
49902173265,3265,Rumsey Rancheria,Indian Rancheria,"Yocha Dehe Wintun Nation, California",06,CA,113,Yolo,00232012
49902624060,4060,Susanville Rancheria,Indian Rancheria,"Susanville Indian Rancheria, California",06,CA,035,Lassen,00235836
49900020020,0020,Agua Caliente Reservation,Indian Reservation,Agua Caliente Band of Cahuilla Indians of the Agua Caliente,06,CA,065,Riverside,01934324
49900220305,0305,Blackfeet Reservation,Indian Reservation,Blackfeet Tribe of the Blackfeet Indian Reservation of Monta,30,MT,073,Pondera,00806895
